,BH008,BH041,V30121,INCNUM
545,TN,2015,1,2648
546,TN,2015,2,1626
547,TN,2015,3,47
548,TN,2015,4,1157
549,TN,2015,5,25172
550,TN,2015,6,623
551,TN,2015,7,205
552,TN,2015,8,4849
553,TN,2015,9,60
554,TN,2015,11,187
555,TN,2015,12,4287
556,TN,2015,13,341
557,TN,2015,14,188
558,TN,2015,15,1091
559,TN,2015,16,3030
560,TX,2015,-8,37394
561,TX,2015,-7,933
562,TX,2015,-6,129083
563,TX,2015,1,683
564,TX,2015,2,1007
565,TX,2015,3,106
566,TX,2015,4,516
567,TX,2015,5,8215
568,TX,2015,6,21
569,TX,2015,7,16
570,TX,2015,8,517
571,TX,2015,9,17
572,TX,2015,10,34
573,TX,2015,11,116
574,TX,2015,12,2967
575,TX,2015,13,46
576,TX,2015,14,25
577,TX,2015,15,157
578,TX,2015,16,854
579,UT,2015,-8,22754
580,UT,2015,-7,2513
581,UT,2015,-6,111431
582,UT,2015,1,265
583,UT,2015,2,302
584,UT,2015,3,37
585,UT,2015,4,1970
586,UT,2015,5,5512
587,UT,2015,6,8
588,UT,2015,7,34
589,UT,2015,8,243
590,UT,2015,9,20
591,UT,2015,11,398
592,UT,2015,12,3024
593,UT,2015,13,35
594,UT,2015,14,11
595,UT,2015,15,46
596,UT,2015,16,564
597,VA,2015,-8,83452
598,VA,2015,-7,6662
599,VA,2015,-6,223272
600,VA,2015,1,2843
601,VA,2015,2,2715
602,VA,2015,3,135
603,VA,2015,4,3600
604,VA,2015,5,24835
605,VA,2015,6,126
606,VA,2015,7,91
607,VA,2015,8,2392
608,VA,2015,9,82
609,VA,2015,10,93
610,VA,2015,11,172
611,VA,2015,12,1712
612,VA,2015,13,146
613,VA,2015,14,50
614,VA,2015,15,159
615,VA,2015,16,1646
616,WA,2015,-8,52229
617,WA,2015,-7,4584
618,WA,2015,-6,236126
619,WA,2015,1,370
620,WA,2015,2,242
621,WA,2015,3,25
622,WA,2015,4,2192
623,WA,2015,5,1922
624,WA,2015,6,26
625,WA,2015,7,17
626,WA,2015,8,282
627,WA,2015,9,5
628,WA,2015,10,6
629,WA,2015,11,22
630,WA,2015,12,2665
631,WA,2015,13,17
632,WA,2015,14,2
633,WA,2015,15,41
634,WA,2015,16,278
635,WI,2015,-8,22859
636,WI,2015,-7,358
637,WI,2015,-6,84696
638,WI,2015,1,322
639,WI,2015,2,346
640,WI,2015,3,18
641,WI,2015,4,769
642,WI,2015,5,6378
643,WI,2015,6,36
644,WI,2015,7,18
645,WI,2015,8,416
646,WI,2015,9,11
647,WI,2015,10,1
648,WI,2015,11,71
649,WI,2015,12,582
650,WI,2015,13,59
651,WI,2015,14,6
652,WI,2015,15,39
653,WI,2015,16,321
654,WV,2015,-8,14235
655,WV,2015,-7,146
656,WV,2015,-6,41861
657,WV,2015,1,270
658,WV,2015,2,269
659,WV,2015,3,3
660,WV,2015,4,1184
661,WV,2015,5,4450
662,WV,2015,6,24
663,WV,2015,7,46
664,WV,2015,8,1578
665,WV,2015,9,4
666,WV,2015,11,24
667,WV,2015,12,472
668,WV,2015,13,108
669,WV,2015,14,14
670,WV,2015,15,143
671,WV,2015,16,414
